Name;Birthday;Countries Active;Years Active;Proven Victims;Possible Victims;BirthYear;StartYear;Age At The Start of Killing;Notes;Type;Nickname;Reason;Archetype/Classification;Gender;Victim Age;Victim Gender;Targeted Group Type
Irina Gaidamachuk;;Russia;2002-2010;17;17;;2002;;Killed 17 elderly women between 2002 and 2010. Sentenced to 20 years in prison.;Hate Crime;Satan in a skirt;Financial Gain;Profit Killer;Female;Adult;Female;Elderly
Randy Steven Kraft;3/19/1945;United States;1971-1983;16;65-67;1945;1971;26;"Convicted of 16 counts of murder but left a cryptic ""score card"" referring to at least 65 victims. May have had an accomplice. Sentenced to death.";Rapist, Torturer, Strangler, Sexual Predator;The Freeway Killer, The Scorecard Killer;Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Mohammed Bijeh;02.07.1982;Iran;2004;16;20;1982;2004;22;Raped and killed at least 16 boys and teenagers with an accomplice named Ali Baghi (Ali Gholampour). Was convicted and executed after being lashed in front of a crowd in 2005. The pair would stun their victims with blows from a stone to the head, they rap;Rapist, Necrophiliac, Vampire, Sexual Predator;Tehran Desert Vampire, One of the Hyenas;Sexual Assault;Hedonistic - Lust;Male;Adult;Male;None
Michel Fourniret;04.04.1942;France?Ç¬†Belgium;1987-2001;16;19;1942;1987;45;He was caught after a failed kidnapping in 2003.;Unknown;Ogre of Ardennes, Beast of Ardennes;Power;Power/Control;Male;Adult;Mixed;None
Sipho Agmatir Thwala;;South Africa;1996-1997;16;19;;1996;;"Nicknamed the Phoenix Strangler after the area in which he committed his crimes; he raped and strangled 19 women; arrested, he was found guilty of 16 murders.";Sexual Predator;The Phoenix Strangler;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Saeed Hanaei;;Iran;2000-2001;16;19;;2000;;"Confessed to luring 16 prostitutes to his home and killing them in an attempt to ""cleanse"" the city of Mashhad. His actions were dubbed ""The Spider Murders"". Executed by hanging in 2002.";Hate Crime;;Hate Crime;Mission-Oriented (Hate-Crime/Targeted Groups);Male;Adult;Female;None
Jeffrey Dahmer;5/21/1960;United States;1978-1991;16;17;1960;1978;18;"Dahmer ate some of his victims and kept their body parts in his freezer. Was sentenced to life imprisonment; murdered in prison in 1994.";Cannibal, Cannibal, Rapist, Strangler, Necrophiliac, Sexual Predator;Milwaukee Cannibal, Milwaukee Murderer;Cannibalism, Sexual Assault;Hedonistic - Lust;Male;Adult;Male;None
Jos??¬© Antonio Rodr??¬≠guez Vega;12.03.1957;Spain;1987-1988;16;16+;1957;1987;30;"He raped and killed at least 16 elderly women, aged from 61 to 93 years old, in and around Santander, Cantabria. He went unrecognized for over a year because he moved his victims into their beds after they were killed; no autopsies were made and the death";Hate Crime, Rapist, Sexual Predator;El Mataviejas (The Old Lady Killer);Sexual Assault;Hedonistic - Lust;Male;Adult;Female;Elderly
Elias Xitavhudzi;;South Africa;1950s;16;16;;1950;;"Nicknamed Panga man for his use of a machete (locally known as a ""panga""). He stabbed and robbed his victims between 1953 and 1959; arrested, he was executed by hanging in 1960.";Unknown;Panga man;Power;Power/Control;Male;Adult;Male;None
Jimmy Maketta;;South Africa;2005;16;16;;2005;;Pleaded guilty to and convicted of 16 murders and 19 rapes committed over the nine-month period of April to December 2005.;Rapist, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Jack Mogale;;South Africa;2008-2009;16;16;;2008;;Raped and strangled women in the Donnybrook area. Convicted of 16 murders and 19 rapes, nine kidnappings, robbery and assault.;Rapist, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Robert Lee Yates;5/27/1952;United States;1975-1998;16;16;1952;1975;23;"Killed prostitutes in the ""Skid Row"" area of E. Sprague Avenue in Spokane, Washington. Sentenced to 408 years in prison and two death sentences.";Hate Crime;;Hate Crime;Mission-Oriented (Hate-Crime/Targeted Groups);Male;Adult;Female;None
Carroll Cole;05.09.1938;United States;1948-1980;16;16;1938;1948;10;Killed 16 people in California, Nevada, Texas. Executed by lethal injection in 1985. Carroll Edward Cole had an IQ of 152. Cole completed 10 years of school, no degree received. Cole married 3 times, killed 2nd wife. He had no children.;Strangler, Necrophiliac;;Power;Power/Control;Male;Child;Mixed;None
Charles Ray Hatcher;7/16/1929;United States;1969-1982;16;16;1929;1969;40;"A habitual criminal, confessed to the rape and murder of over 20 young and adolescent males. Escaped from prison several times and was declared a ""manipulative institutionalized sociopath"". Sentenced to life; committed suicide by hanging himself in prison";Rapist, Sexual Predator;Crazy Charlie;Sexual Assault;Hedonistic - Lust;Male;Adult;Male;None
Yuri Ivanov;;Soviet Union;1974-1987;16;16;;1974;;"Kazakhstani rapist who killed girls and women who spoke negatively of men; executed 1987.";Rapist, Sexual Predator;Ust-Kamenogorsk Maniac;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Vladimir Mirgorod;11.01.1979;Russia;2003-2004;16;16;1979;2003;24;"Raped and strangle women in Moscow, also killing one of the victims' son; sentenced to life imprisonment.";Rapist, Strangler, Sexual Predator;The Strangler;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Lee Choon-jae;;South Korea;1986-1994;16;;;1986;;Also known as the Hwaseong serial murders. Most of the victims were bound, gagged, and strangled to death with their own clothes. It sparked the largest criminal case in South Korea with two million officers mobilized and over 21,000 suspects investigated;Unknown;;Power;Power/Control;Male;Adult;Mixed;None
Dor??¬?ngel Vargas;5/14/1956;Venezuela;1997-1999;15;;1956;1997;41;Homeless cannibal that murdered a homeless man and was institutionalized. After escaping the institution, he went on to kill ten other men and was arrested. In 2016, he and several other inmates killed three others and Vargas fed their remains to them.;Cannibal;The People Eater (El Comegente), The Hannibal Lecter of the Andes;Cannibalism;Hedonistic;Female;Adult;Male;None
Ravinder Kumar;;India;2008-2015;15;30+;;2008;;Serial rapist who killed children of poor families.[111];Rapist, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Child;Mixed;None
Atlanta Ripper;;United States;1911;15;21;;1911;;Unidentified serial killer(s) who killed at least 15 Atlanta women in 1911, possibly as many as 21 in total.[112];Unknown;;Femicide;Power and Hedonistic;Female;Adult;Female;None
Robert Hansen;2/15/1939;United States;1980-1983;15;21;1939;1980;41;Prostitutes he kidnapped were released into the Alaskan wilderness for him to hunt down like animals. Based on discovered remains, police suspect him of six murders in addition to the 15 for which he was convicted. Sentenced to 461 years plus life. Died f;Hate Crime;;Hate Crime;Mission-Oriented (Hate-Crime/Targeted Groups);Male;Adult;Female;None
??¬Ångel Maturino Res??¬©ndiz;08.01.1959;United States?Ç¬†Mexico;1986-1999;15;18;1959;1986;27;His killings were committed near the railroad tracks he used to traverse the country. He was charged with and/or confessed to 15 murders occurring from 1986 to 1999 in Texas, Florida, Illinois, Georgia, and Kentucky. He was also suspected in a 1997 Califo;Sexual Predator, Strangler, Rapist;Railroad Killer;Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Chester Turner;11.05.1966;United States;1987-1998;15;15+;1966;1987;21;Convicted of killing 15 people in Los Angeles, California in the 1980s and 1990s. Sentenced to death.[115];Serial Killer, Rapist, Strangler, Sexual Predator;Southside Slayer murders;Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Elifasi Msomi;;South Africa;1950s-1956;15;15;;1950;;"Killed his victims with an axe or a knife in the 1950s; executed by hanging in 1956.";Unknown;;Power;Power/Control;Male;Adult;Mixed;None
Florencio Fern??¬?ndez;;Argentina;1950s;15;15;;1950;;Stalked his victims, then would beat and bite them while they were asleep. Died from natural causes a few years after his 1960 arrest.;Unknown;;Power;Power/Control;Male;Adult;Mixed;None
Bai Baoshan;;China;1983-1997;15;15;;1983;;"Robber who killed 15 people while robbing several police stations; executed by gunshot in 1998.";Unknown;;Power;Power/Control;Male;Adult;Mixed;None
Maurizio Minghella;7/16/1958;Italy;1978-2001;15;15;1958;1978;20;"Killed five prostitutes; imprisoned and released, after which he killed 10 more; sentenced to life imprisonment.";Hate Crime;;Hate Crime;Mission-Oriented (Hate-Crime/Targeted Groups);Male;Adult;Female;None
Alexander Labutkin;;Soviet Union;1933-1935;15;15;;1933;;"Killed people in the forest near the Prigorodny settlement using a revolver; executed 1935.";Unknown;One-Armed Bandit;Power;Power/Control;Male;Adult;Male;None
Charlie Brandt;2/23/1957;United States;1971-2004;4;29;1957;1971;14;Committed suicide by hanging after murdering his wife and niece. The latter was also decapitated and eviscerated in a manner strongly similar to 26 unsolved murders of women in Florida, starting in 1973, the year Brandt moved to the state. Brandt was late;Unknown;;Femicide;Power and Hedonistic;Male;Adult;Female;None
Robert Black;4/21/1947;United Kingdom,?Ç¬†Ireland (suspected),?Ç¬†Germany (suspected),?Ç¬†Netherlands (suspected),?Ç¬†France (suspected);1981-1986;4;18+;1947;1981;34;Convicted of kidnapping, raping and murdering four girls aged between five and 11. Suspect in other earlier child murders in the UK and other European countries. Died weeks before he was to be charged with a fifth child murder.;Unknown;;Power;Power/Control;Female;Child;Female;None
Max Gufler;01.05.1918;Austria;1946-1958;4;18;1918;1946;28;Poisoned and drowned four women, but suspected of killing 18 in total.;Unknown;;Femicide;Power and Hedonistic;Male;Adult;Female;None
Ernesto Picchioni;09.09.1967;Kingdom of Italy?Ç¬†Italy;1949 and earlier;4;16;1967;;;"Murdered people who approached his home; died of cardiac arrest in 1967.";Unknown;;Power;Power/Control;Male;Adult;Mixed;None
Baekuni;;Indonesia;1993-2010;4;14;;1993;;"Pedophile who raped and killed young boys; initially sentenced to life imprisonment, but changed to the death sentence.";Pedophile;;Pedophilia;Power/Control - Lust;Male;Child;Male;None
Igor Chernat;;Soviet Union;1985-1986;4;13;;1985;;"Ukrainian soldier who raped and killed women in Kamenka, selling their stolen items afterwards; executed 1987.";Rapist, Sexual Predator;Evil Spirit of Kaukjarvi;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Ricky Lee Green;12/27/1960;United States;1985-1986;4;12;1960;1985;25;"Bisexual drifter who killed people he met in bars; his wife assisted in two of the murders; executed in 1997.";Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Robert Hicks Murray;;United Kingdom;1912 and earlier;4;11+;;;;"Bigamist who murdered his wife and three children in a murder-suicide; posthumously revealed to have killed previous wives as well.";Unknown;;Power;Power/Control;Male;Child;Mixed;None
Dallen Bounds;08.09.1971;United States;1999;4;4+;1971;1999;28;Murdered a Radio Shack manager, and a florist at their respective places of business. Then murdered two acquaintances before taking two others hostage and committing suicide. Suspected of additional murders in the Pacific Northwest.;Stalker;;Power;Power/Control;Female;Adult;Male;None
Stephen John Port;2/22/1975;United Kingdom;2014-2015;4;4+;1975;2014;39;Port met his victims via online gay social networks. He used gamma-Hydroxybutyric acid (GHB), a date rape drug, adding it to drinks given to his victims, raped them, and murdered four of them in his flat in Barking, east London.;Rapist, Sexual Predator;The Grindr Killer;Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Robert Maudsley;6/26/1953;United Kingdom;1974-1978;4;4;1953;1974;21;Sentenced to life without parole in 1974 for murdering a man who had shown him pictures of young boys he had sexually abused. Subsequently killed another child sex offender in Broadmoor high-security hospital and two more, including a child sex offender, ;Cannibal, Cannibal, Torturer, Strangler, Sexual Predator;Hannibal the Cannibal;Cannibalism, Sexual Assault;Hedonistic - Lust;Male;Child;Male;None
Ted Kaczynski;5/22/1942;United States;1978-1996;3;3;1942;1978;36;Domestic terrorist and serial bomber, Kaczynski was responsible for more than two dozen bombings of universities and one airline bombing from 1978 to 1996, justified by Kaczynski by his philosophy that technological advancements would destroy humanity. Ar;Terrorist;Unabomber;Power;Power/Control;Male;Adult;Male;None
Richard Kuklinski;04.11.1935;United States;1948-1986;3;100-250;1935;1948;13;Hitman for hire believed to have killed not only as a hitman but also on his own initiative.;Unknown;The Iceman;Power;Power/Control;Male;Adult;Male;None
Robert Ben Rhoades;11/22/1945;United States;1989-1990;3;50+;1945;1989;44;He is suspected of the torture rape and the murder of more than fifty women between 1975 and 1990. He would target on hitchhikers and truck stop sex workers. He was known to take photos of some of his victims, he strangled at least one and shot at least o;Sexual Predator;The Truck Stop Killer;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Peter Tobin;8/27/1946;United Kingdom;1991-2006;3;48;1946;1991;45;Rapist, Strangler;Rapist, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Pedro Padilla Flores;;Mexico;1986;3;30;;1986;;"Killed three women in 1986; fled to the US but recaptured and deported back to Mexico; main suspect in the Ciudad Ju??¬?rez Murders.";Unknown;;Femicide;Power and Hedonistic;Male;Adult;Female;None
Billy Glaze;7/13/1943;United States;1986-1987;3;20+;1943;1986;43;Killer convicted of raping and murdering three Native American prostitutes in Minneapolis in 1986 and 1987.;Rapist, Sexual Predator;Butcher Knife Billy;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Bertha Gifford;10/30/1871;United States;1909-1928;3;17;1871;1909;38;Found not guilty by reason of insanity of three arsenic poisonings and suspected of 14 other killings, mostly children, in Missouri.;Unknown;;Power;Power/Control;Female;Child;Mixed;None
Bernhard Prigan;;Allied-occupied Germany?Ç¬†West Germany;1947-1952;3;16;;1947;;"Killed women near highways; confessed to a total of 16 murders.";Unknown;;Femicide;Power and Hedonistic;Male;Adult;Female;None
Stephen Griffiths;12/24/1969;United Kingdom;2009-2010;3;14;1969;2009;40;"Known to have killed three prostitutes, but claims to have killed 14 to beat ""Yorkshire Ripper"" Peter Sutcliffe. Dubbed himself the ""Crossbow Cannibal"" as he killed his victims with a hammer and crossbow and then later ate parts of them.";Cannibal;The Crossbow Cannibal;Cannibalism;Hedonistic;Male;Adult;Female;None
